@relation 'Affect_Clip_Labels_full-weka.filters.unsupervised.attribute.Remove-V-R4,106,157,55,26,176,23,77,74,147,205-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,5,6,7,10,11-weka.filters.supervised.instance.SMOTE-C0-K5-P1100.0-S1'

@attribute averagecorrect numeric
@attribute mincorrect numeric
@attribute sumcorrect numeric
@attribute averagepercentcorrectperskill numeric
@attribute sumhinttotal numeric
@attribute averagehinttotal numeric
@attribute mintotalfrattempted numeric
@attribute class {no,yes}

@data
0,0,0,0.192308,3,3,8,no
0,0,0,0,16,4,16,no
0,0,0,0.100673,9,3,22,no
1,1,1,0.24,0,0,25,no
0,0,0,0.141964,20,5,29,no
1,1,1,0.4,1,1,2,no
0,0,0,0.333333,1,1,2,no
0,0,0,0.262931,6,3,9,no
1,1,1,0.625,0,0,14,no
0,0,0,0.215201,8,4,17,no
0,0,0,0.206897,0,0,17,yes
0.25,0,1,0.27947,12,3,28,no
0.25,0,1,0.217711,12,3,35,no
1,1,1,0.178571,0,0,40,no
0,0,0,0,0,0,1,yes
0,0,0,0.2,4,4,16,no
1,1,2,1,0,0,8,no
1,1,1,0.6,0,0,17,no
1,1,1,0.214286,0,0,2,no
0,0,0,0.235294,0,0,4,no
0,0,0,0.4,0,0,16,no
1,1,1,0.2,3,3,25,no
0,0,0,0,0,0,7,no
0.2,0,1,0.139299,0,0,8,no
0,0,0,0.333333,0,0,2,no
0,0,0,0.26087,3,3,6,no
0,0,0,0.189358,9,2.25,7,no
0.666667,0,2,0.444444,4,1.333333,0,no
0,0,0,0,0,0,4,no
0,0,0,0.25,3,3,7,no
1,1,1,0.266667,0,0,8,no
1,1,1,1,0,0,3,no
1,1,1,1,0,0,7,no
1,1,1,1,0,0,9,no
1,1,1,1,0,0,14,no
1,1,1,0.4,0,0,5,no
0.2,0,1,0.211284,16,3.2,9,no
1,1,3,1,0,0,14,yes
1,1,1,0.230769,4,4,11,yes
0,0,0,0.238095,4,4,29,no
0,0,0,0,0,0,13,no
0,0,0,0,3,3,20,no
0,0,0,0.0625,3,3,21,no
0.2,0,1,0.028571,15,3,23,yes
0.125,0,1,0.219247,24,3,25,no
0,0,0,0.294118,0,0,18,yes
0,0,0,0.171717,11,3.666667,2,no
0.222222,0,2,0.181246,32,3.555556,18,no
0.6,0,3,0.54,0,0,32,no
1,1,1,0.25,3,3,2,no
0.5,0,1,0.206294,6,3,3,no
0,0,0,0,3,3,0,no
1,1,1,0.375,0,0,3,no
1,1,2,0.261111,0,0,5,no
0,0,0,0.25,0,0,6,no
0,0,0,0,3,3,7,no
0.25,0,1,0.03125,12,3,11,no
1,1,1,0.333333,0,0,14,no
0,0,0,0.286888,12,3,17,no
0,0,0,0.208139,16,4,25,no
0,0,0,0.272727,4,4,24,yes
0,0,0,0.188746,2,1,5,no
0,0,0,0,6,3,20,no
0,0,0,0,3,3,22,no
0,0,0,0,3,3,21,no
1,1,1,0.25,0,0,22,no
1,1,1,0.333333,0,0,23,no
1,1,1,0.428571,0,0,25,no
0.25,0,1,0.329167,16,4,4,no
0,0,0,0.214286,5,5,6,no
0.166667,0,1,0.194178,30,5,7,no
0,0,0,0,3,3,7,no
0.333333,0,2,0.372619,15,2.5,10,no
0,0,0,0.111111,8,4,13,no
1,1,1,1,0,0,1,no
0,0,0,0.25,4,4,4,no
0,0,0,0.176471,0,0,5,no
0,0,0,0.25,3,3,7,no
0,0,0,0.25,3,3,8,no
1,1,1,1,0,0,0,no
1,1,1,0.5,0,0,13,no
0,0,0,0,6,2,11,no
0,0,0,0.166667,0,0,18,no
0.2,0,1,0.161808,12,2.4,17,no
0.25,0,1,0.20863,9,2.25,21,no
1,1,1,0.242424,0,0,23,no
0.25,0,1,0.261859,12,3,3,no
0,0,0,0.214286,1,1,3,no
1,1,1,0.266667,1,1,4,no
1,1,1,0.5,0,0,15,no
0.5,0,1,0.30303,2,1,18,no
1,1,1,0.5,0,0,5,no
1,1,1,0.833333,0,0,4,no
1,1,1,0.857143,0,0,5,no
0.222222,0,2,0.424751,30,3.333333,9,no
0.2,0,1,0.290529,25,5,12,no
0.25,0,1,0.204799,12,3,22,no
0,0,0,0.308333,9,3,7,no
0,0,0,0,3,3,12,no
0,0,0,0,3,3,11,no
1,1,1,0.380952,0,0,7,no
0.4,0,2,0.225,4,0.8,7,no
0,0,0,0.2,2,2,10,no
0,0,0,0.2,0,0,12,no
0,0,0,0.208333,1,1,12,no
0,0,0,0,0,0,6,no
0,0,0,0,0,0,15,no
0,0,0,0.2,0,0,19,yes
0,0,0,0.214286,0,0,18,no
0.5,0,1,0.325,2,1,5,no
0,0,0,0.354167,2,1,8,no
1,1,1,1,0,0,4,no
0.666667,0,2,0.255768,0,0,10,no
1,1,1,1,0,0,14,no
0,0,0,0,0,0,9,no
0,0,0,0,6,3,11,no
1,1,1,0.454545,0,0,9,no
1,1,2,1,0,0,10,no
1,1,1,0.583333,0,0,15,no
1,1,1,0.428571,0,0,6,no
0,0,0,0.291667,0,0,31,no
1,1,2,0.274034,0,0,37,no
0,0,0,0,0,0,10,no
1,1,1,1,0,0,17,no
0.333333,0,2,0.186111,6,1,10,no
0,0,0,0,0,0,3,no
1,1,3,1,0,0,8,no
0,0,0,0.148352,6,1,8,yes
1,1,2,0.4,0,0,10,no
