@relation 'Affect_Clip_Labels_full-weka.filters.unsupervised.attribute.Remove-V-R4,106,157,55,26,176,23,77,74,147,205-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,5,6,7,10,11-weka.filters.supervised.instance.SMOTE-C0-K5-P560.0-S1-weka.filters.unsupervised.instance.Randomize-S42'

@attribute averagecorrect numeric
@attribute mincorrect numeric
@attribute sumcorrect numeric
@attribute averagepercentcorrectperskill numeric
@attribute sumhinttotal numeric
@attribute averagehinttotal numeric
@attribute mintotalfrattempted numeric
@attribute class {no,yes}

@data
1,1,1,1,0,0,12,no
1,1,2,0.931818,0,0,196,no
0,0,0,0.142857,3,3,77,no
1,1,1,1,0,0,2,no
1,1,2,1,0,0,108,no
0,0,0,0.35,0,0,183,no
1,1,1,1,5,5,18,no
0.222222,0,2,0.428764,24,2.666667,45,no
0.421376,0,0.20924,0.507768,0.511203,0.843729,13,yes
0,0,0,0.25,0,0,6,no
1,1,3,0.455556,3,1,9,no
1,1,1,1,0,0,8,no
0,0,0,0.208333,1,1,12,no
0,0,0,0,0,0,52,no
0.090527,0,0.930326,0.208635,18.110169,3.583415,10.788793,yes
1,1,3,0.777778,0,0,109,no
0.5,0,1,0.416667,0,0,5,no
0,0,0,0,480,4,24,yes
1,1,1,0.5,0,0,12,no
1,1,1,0.692308,0,0,54,no
1,1,1,0.75,0,0,17,no
0.5,0,4,0.507011,0,0,138,no
0,0,0,0.25,1,1,2,no
1,1,1,0.774194,0,0,201,no
0,0,0,0,2,2,2,no
1,1,1,0.78125,0,0,263,no
0.688629,0.972074,1,0.27287,17.384312,2.340976,89.2681,yes
0.96442,0.107236,0.496263,0.477624,4.699163,3.807762,17.954783,yes
0,0,0,0.363269,0,0,14,yes
1,1,1,1,0,0,39,no
1,1,1,0.772727,0,0,77,no
1,1,1,1,0,0,7,no
0.166667,0,1,0.517311,20,3.333333,99,no
0.5,0,1,0.909091,0,0,34,no
0.333333,0,2,0.324206,18,3,19,no
1,1,1,1,0,0,0,no
0.257169,0,0.296871,0.296033,11.889992,3.895391,6.860537,yes
0,0,0,0.286677,2.996089,2.774769,23.220156,yes
0.333333,0,1,0.190218,6,2,12,no
1,1,1,1,0,0,43,no
1,1,1,1,0,0,39,no
1,1,1,0.555556,0,0,62,no
1,1,1,1,0,0,6,no
1,1,1,0.8,0,0,159,no
1,1,1,0.2,4,4,12,no
1,1,2,0.913043,0,0,78,no
1,1,2,0.173611,8,4,121,no
0.428571,0,3,0.246769,0,0,57,no
1,1,1,1,0,0,1,no
0,0,0,0,3.120699,3.320853,15.968994,yes
0,0,0,0.5,0,0,23,no
0,0,0,0,3,3,22,no
0.333333,0,1,0.327778,15,5,12,no
1,1,1,1,3,3,14,no
1,1,1,0.6,0,0,187,no
1,1,1,0.2,3,3,1,no
1,1,2,0.870748,0,0,322,no
0,0,0,0,0,0,13,no
1,1,2,0.4,0,0,10,no
1,1,1,1,0,0,32,no
0,0,0,0.154762,6,3,243,no
0.5,0,4,0.275189,0,0,6,no
0.089519,0,0.996968,0.195876,11.842594,3.950752,8.811916,yes
0.5,0,1,0.45,0,0,86,no
0,0,0,0,0,0,33,no
0,0,0,0.089286,6,1.5,118,no
1,1,1,0.833333,0,0,81,no
0.969049,0.413679,1.567293,0.420641,5.443687,0.369728,39.496978,yes
0,0,0,0.5,3,3,58,no
0,0,0,0.46875,0,0,69,no
0,0,0,0,2,2,3,yes
0.10032,0,0.722543,0.068171,5.071229,2.699487,57.497746,yes
0.142857,0,1,0.035714,26,3.714286,6,no
0,0,0,0,4,4,19,no
1,1,1,0.428571,0,0,106,no
0,0,0,0.590278,0,0,6,no
1,1,1,0.242424,0,0,23,no
1,1,4,0.954545,0,0,28,no
1,1,1,0.307692,0,0,137,no
0.272727,0,3,0.181743,30,2.727273,90,no
1,1,1,0.396552,3,3,46,no
0.333333,0,1,0.305556,6,2,21,no
1,1,2,0.716667,0,0,248,no
0.651003,0.828329,1,0.899789,8.688582,1.937402,130.171285,yes
0,0,0,0.283951,0,0,44,no
0,0,0,0.266667,3,3,94,no
0.333333,0,1,0.14537,9,3,64,no
0.5,0,1,0.292857,0,0,234,no
0,0,0,0.0625,3,3,21,no
0,0,0,0,2,2,1,no
0.666667,0,2,0.611111,0,0,91,no
0.008658,0,0.363128,0.387807,5.967552,3.686756,110.551279,yes
1,1,1,0.5,3,3,24,no
0,0,0,0.666667,0,0,283,no
1,1,3,0.805556,0,0,71,no
0,0,0,0.112198,0,0,19.571536,yes
1,1,1,0.714286,0,0,11,no
1,1,1,0.666667,0,0,94,no
0,0,0,0.691667,0,0,163,no
0.225859,0,1,0.251923,10.282735,2.439259,93.137375,yes
1,1,2,0.726476,0,0,222,no
0.25,0,1,0.27947,12,3,28,no
1,1,2,0.535714,0,0,27,no
